  ;DiagnosisDescription                ;DiagnosisDescription              ;Occurrence
1 ;Benign essential hypertension       ;Mixed hyperlipidemia              ;77        
2 ;Other and unspecified hyperlipidemia;Unspecified essential hypertension;63        
3 ;Acute sinusitis, unspecified        ;Cough                             ;57        
4 ;Acute bronchitis                    ;Cough                             ;52        
5 ;Mixed hyperlipidemia                ;Unspecified essential hypertension;46        
6 ;Allergic rhinitis, cause unspecified;Unspecified essential hypertension;43        
7 ;Esophageal reflux                   ;Unspecified essential hypertension;43        
8 ;Acute bronchitis                    ;Acute sinusitis, unspecified      ;38        
9 ;Unspecified essential hypertension  ;Unspecified hypothyroidism        ;36        
10;Esophageal reflux                   ;Mixed hyperlipidemia              ;33        
